PC1,PC2
-1.9761961853286651,0.4179414653813019
-2.8480036974828877,-0.43859729195952085
-2.521131720158668,0.3296336754823275
-0.5431329924842769,0.569296046345972
-1.4336848590655729,1.2548279163401732
-0.8551538364386794,1.2424206826393458
-1.5757400984212087,0.17616257144221967
-1.9915949052664375,0.43385114033403893
-0.530971961328922,-0.16115861016787353
-1.0421724235685432,-0.2221886211743638
-1.6806410691984537,0.2626258589161329
-0.9920863576539178,0.30740319077458816
-2.2020699143743983,0.07559576610873747
-0.5861408915668301,0.08228299494969117
-0.5132878636633935,0.2514884994394275
-0.36079772858625847,1.2145930392317397
-1.1423975020403339,0.5239070907765137
-1.3888369410936545,-0.2397668601278057
-1.2579677200154702,0.9002107520119739
-1.5489791048005568,0.5853659160232235
-1.434134213370023,1.185389308625958
-1.3849023699954164,0.7791335967354375
-1.1557567666307493,0.49176361256525547
-2.7037883359017423,0.48482263704540884
-1.2425238542094785,0.8265251339471461
-0.8307571718507252,1.0583066873422577
-1.535961174053784,1.403732857949833
-1.318284312965739,0.7979641500982053
-1.5661245207559666,0.499035606136609
-2.1894420682725633,-0.6010950976881085
-1.7234440093321544,0.15164215307612514
-1.0974748607106615,1.226884324165215
-1.58879396184885,-0.010051780962545488
-1.6120619712968105,-0.7110683811625361
-0.4766456012604105,0.41531232535928503
-1.308883018142481,-0.24969446532688863
-0.8607360033185338,0.19723455061826833
-0.6211010956140031,2.0042241942810866
-0.3324090457462582,1.2974487021765746
-1.6902674662406592,0.8871032969706764
-1.5562545558675276,0.8600716884104974
-1.9238270300954148,0.9849361000126101
-1.625324262422905,1.0379343287610474
-1.616415655506848,1.3823102972828067
-2.6017488576426935,1.1555660273691548
-1.763251776592608,0.49750011942821903
-1.0173592287652526,1.0690282055346585
-1.1454722868259124,-0.2590749196664439
-1.1876477669358514,0.6854470879179979
-1.043759336749837,1.3798017034977514
-1.7462085271142969,1.8726231081632527
-0.9388294548894507,-0.0043854666914025075
-0.6753345795337332,0.8526690115985209
-1.9985926668606693,-0.7899392679938095
-1.1751924992311804,1.2396401583582286
-0.5426543181014241,1.7156232940611413
-1.0385076521294494,1.0497471889604417
-0.649943105772928,0.5834478865409513
-0.502815020262035,0.9649578153090157
-1.225175319971292,1.1240914910124105
-1.3421596948896501,2.155722368122941
-1.9129793197400873,-0.05207894516387112
-2.061467488139613,0.2390599939552619
-1.7203465440987435,1.763555492279487
-2.4411955703897843,0.2055592061211397
-2.0531625109471685,-0.7287648659364425
-2.2509321765070616,-0.31339859813297394
-0.930357016811126,0.044665000661610596
-1.2013166275414695,-0.38718908734970214
